"","employees","salaries.2014","salaries.2015","raise","got.raise"
"49","Employee 49",40986.4527429454,41004.0757590905,17.6230161450803,TRUE
"50","Employee 50",40199.0114385262,42613.619633019,2414.60819449276,TRUE
"51","Employee 51",43306.2017313205,44633.8705709204,1327.66883959994,TRUE
"52","Employee 52",41396.5035416186,42483.4192600101,1086.91571839154,TRUE
"53","Employee 53",49744.0759651363,54648.2836278155,4904.20766267926,TRUE
"54","Employee 54",47828.5808884539,48155.1185855642,326.537697110325,TRUE
"55","Employee 55",40183.8317187503,41205.8402518742,1022.00853312388,TRUE
"56","Employee 56",47649.2505613714,52505.218419712,4855.96785834059,TRUE
"57","Employee 57",48950.417409651,50290.971878916,1340.55446926504,TRUE
"58","Employee 58",45138.9513746835,47664.851098787,2525.89972410351,TRUE
"59","Employee 59",47262.8631186672,52085.3908085264,4822.52768985927,TRUE
"60","Employee 60",47915.7024854794,52823.4402481467,4907.73776266724,TRUE
"61","Employee 61",40936.6338257678,45910.0538063794,4973.41998061165,TRUE
"62","Employee 62",48989.9788657203,53436.1744071357,4446.19554141536,TRUE
"63","Employee 63",45607.4890797026,46216.4488225244,608.959742821753,TRUE
"64","Employee 64",47205.3230670281,51539.3733764067,4334.05030937865,TRUE
"65","Employee 65",43374.4217129424,42768.7332294881,-605.688483454287,FALSE
"66","Employee 66",48216.6110700928,48363.0274361931,146.416366100311,TRUE
"67","Employee 67",48915.4327544384,50369.0725420602,1453.6397876218,TRUE
"68","Employee 68",44388.6251468211,48972.5971766748,4583.97202985361,TRUE
"69","Employee 69",47915.4117684811,47859.5730387606,-55.8387297205627,FALSE
"70","Employee 70",45069.2827859893,45213.6861640029,144.403378013521,TRUE
"71","Employee 71",46243.2639976032,48366.1260502413,2122.86205263808,TRUE
"72","Employee 72",46150.5470867269,48629.4120587409,2478.86497201398,TRUE
"73","Employee 73",41205.6574528106,43164.6864768118,1959.02902400121,TRUE
"74","Employee 74",47594.025444705,48957.3165806942,1363.29113598913,TRUE
"75","Employee 75",45796.6776960529,50438.0798679776,4641.40217192471,TRUE
"76","Employee 76",48203.8964843377,49688.8388637453,1484.94237940758,TRUE
"77","Employee 77",44129.4919117354,43924.6821030974,-204.809808637947,FALSE
"78","Employee 78",42820.3845745884,43314.5140795968,494.129505008459,TRUE
"79","Employee 79",44856.925776694,46632.6287034899,1775.70292679593,TRUE
"80","Employee 80",45219.9542731978,46550.5196540616,1330.56538086385,TRUE
"81","Employee 81",44233.0480343662,47115.7942381687,2882.74620380253,TRUE
"82","Employee 82",43731.1840429902,45883.8838604279,2152.69981743768,TRUE
"83","Employee 83",41498.1680759229,43477.1787496284,1979.01067370549,TRUE
"84","Employee 84",43326.1704770848,45957.9323208891,2631.76184380427,TRUE
"85","Employee 85",42089.5810355432,44902.7471570298,2813.16612148657,TRUE
"86","Employee 86",41019.7784285992,45540.852021426,4521.07359282672,TRUE
"87","Employee 87",43401.9934409298,47421.4019370265,4019.40849609673,TRUE
"88","Employee 88",45926.8025448546,47408.229556866,1481.42701201141,TRUE
"89","Employee 89",42388.3358458988,41591.8059041724,-796.529941726476,FALSE
"90","Employee 90",43894.190848805,47629.2005684227,3735.00971961766,TRUE
"91","Employee 91",45399.839761667,44878.008057829,-521.831703837961,FALSE
"92","Employee 92",47642.6044641994,48757.5883474201,1114.9838832207,TRUE
"93","Employee 93",40695.9760934114,41508.6203496903,812.644256278872,TRUE
"94","Employee 94",44543.6887652613,45332.8581801616,789.169414900243,TRUE
"95","Employee 95",42138.4873474017,43920.7262126729,1782.23886527121,TRUE
"96","Employee 96",41674.1504473612,42384.9486121908,710.798164829612,TRUE
"97","Employee 97",49241.6341463104,51980.4227221757,2738.78857586533,TRUE
"98","Employee 98",48200.2224982716,47763.4406667203,-436.781831551343,FALSE
"99","Employee 99",46176.2962234206,49033.2664097659,2856.97018634528,TRUE
"100","Employee 100",40253.8167266175,44496.4630664326,4242.64633981511,TRUE
